,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types
200,NAPIER PORT HOLDINGS LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NAPIER PORT HOLDINGS LIMITED,2024-09-30,,Submitted,FY24/25,['2024 Climate Change Report (FINAL) - signed.pdf'],1,0,Infrastructure,Normal companies
201,NAPIER PORT HOLDINGS LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NAPIER PORT HOLDINGS LIMITED,2025-09-30,,Submitted,FY25/26,['NPH - Climate Change Related Disclosure Report - November 2025.pdf'],1,0,Infrastructure,Normal companies
202,NELSON BUILDING SOCIETY,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NELSON BUILDING SOCIETY,2024-03-31,,Submitted,FY23/24,['NBS-Climate-Related-Disclosure-2024.pdf'],1,0,Constructions,Normal companies
203,NELSON BUILDING SOCIETY,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,NELSON BUILDING SOCIETY,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Constructions,Normal companies
204,NELSON BUILDING SOCIETY,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NELSON BUILDING SOCIETY,2025-03-31,,Submitted,FY24/25,['NBS-Climate-Related-Disclosure-2025.pdf'],1,0,Constructions,Normal companies
205,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,31-01-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,2025-01-31,,Submitted,FY24/25,['New Zealand King Salmon FY25 Climate-Related Disclosures.pdf'],1,0,Finance - Other,Normal companies
206,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,2024-01-31,,Submitted,FY23/24,['Climate-Related Disclosures.pdf'],1,0,Finance - Other,Normal companies
207,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,31-01-2026 - Due by 31-05-2026,Normal companies,,Have records but not submitted,2026,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,2026-01-31,,Not yet submitted,FY25/26,[],0,1,Finance - Other,Normal companies
208,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,2025-06-30,,Submitted,FY24/25,['Climate Statement 2025-Exemption.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
209,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,2024-06-30,,Submitted,FY23/24,['2406 Climate-Related-Disclosures-2024.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
210,NEW ZEALAND RURAL LAND COMPANY LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NEW ZEALAND RURAL LAND COMPANY LIMITED,2024-12-31,,Submitted,FY24/25,['NZL CRD Climate Statement 2024.pdf'],1,0,Real Estates,Normal companies
211,NEW ZEALAND RURAL LAND COMPANY LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NEW ZEALAND RURAL LAND COMPANY LIMITED,2023-12-31,1.0,Submitted,FY23/24,['NZL Climate Related Disclosure.pdf'],1,0,Real Estates,Normal companies
212,NEW ZEALAND RURAL LAND COMPANY LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,NEW ZEALAND RURAL LAND COMPANY LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Real Estates,Normal companies
213,NIB NZ LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NIB NZ LIMITED,2024-06-30,,Submitted,FY23/24,['nib NZ Climate Related Disclosure_FINAL_R3.pdf'],1,0,Finance - Insurance,Normal companies
214,NIB NZ LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NIB NZ LIMITED,2025-06-30,,Submitted,FY24/25,['nib nz 2025 Climate Related Disclosure.pdf'],1,0,Finance - Insurance,Normal companies
215,NUFARM FINANCE (NZ) LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NUFARM FINANCE (NZ) LIMITED,2024-09-30,,Submitted,FY24/25,['NFF Exemption Notice Climate Reporting 30 September 2024 MBIE 6.11.2024.pdf'],1,0,Finance - Other,Normal companies
216,NUFARM FINANCE (NZ) LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,NUFARM FINANCE (NZ) LIMITED,2024-09-30,,Not required to lodge,FY24/25,['NFF Exemption Notice Climate Reporting 30 September 2024 MBIE 6.11.2024.pdf'],1,0,Finance - Other,Normal companies
217,NUFARM FINANCE (NZ) LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NUFARM FINANCE (NZ) LIMITED,2025-09-30,,Submitted,FY25/26,['NFF Exemption Notice Climate Reporting 30 September 2025.pdf'],1,0,Finance - Other,Normal companies
218,NZME LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NZME LIMITED,2024-12-31,,Submitted,FY24/25,['NZME Annual Report 2024 (including climate statement).pdf'],1,0,Telecom,Normal companies
219,NZME LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NZME LIMITED,2023-12-31,1.0,Submitted,FY23/24,['NZME Annual Report 2023 (including climate statement).pdf'],1,0,Telecom,Normal companies
220,NZME LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,NZME LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Telecom,Normal companies
221,NZX LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NZX LIMITED,2024-12-31,,Submitted,FY24/25,['NZX Annual Report 2024 (including climate statement).pdf'],1,0,Finance - Other,Normal companies
222,NZX LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NZX LIMITED,2023-12-31,1.0,Submitted,FY23/24,['NZX Annual Report 2023 (including climate statement).pdf'],1,0,Finance - Other,Normal companies
223,NZX LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,NZX LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Finance - Other,Normal companies
224,OCEANIA HEALTHCARE LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,OCEANIA HEALTHCARE LIMITED,2024-03-31,,Submitted,FY23/24,['Oceania Healthcare FY2024 Climate-related Risk Disclosure.pdf'],1,0,Retirement Village,Normal companies
225,OCEANIA HEALTHCARE LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,OCEANIA HEALTHCARE LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Retirement Village,Normal companies
226,OCEANIA HEALTHCARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,OCEANIA HEALTHCARE LIMITED,2025-03-31,,Submitted,FY24/25,['Oceania Healthcare FY2025 Climate-related Risk Disclosure.pdf'],1,0,Retirement Village,Normal companies
227,PACIFIC EDGE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PACIFIC EDGE LIMITED,2024-03-31,,Submitted,FY23/24,['PEB Climate Report 24.pdf'],1,0,Pharmaceuticals,Normal companies
228,PACIFIC EDGE LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,PACIFIC EDGE LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Pharmaceuticals,Normal companies
229,PACIFIC EDGE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PACIFIC EDGE LIMITED,2025-03-31,,Submitted,FY24/25,['Pacific Edge Limited Final Climate Report FY25.pdf'],1,0,Pharmaceuticals,Normal companies
230,PARTNERS LIFE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PARTNERS LIFE LIMITED,2024-03-31,,Submitted,FY23/24,['Partners Life Limited Climate Statements 31 March 2024 (stand alone).pdf'],1,0,Finance - Insurance,Normal companies
231,PARTNERS LIFE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PARTNERS LIFE LIMITED,2025-03-31,,Submitted,FY24/25,['PLL Financial Statements Signed.pdf'],1,0,Finance - Insurance,Normal companies
232,PARTNERS LIFE LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,PARTNERS LIFE LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Finance - Insurance,Normal companies
233,PGG WRIGHTSON LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PGG WRIGHTSON LIMITED,2024-06-30,,Submitted,FY23/24,['PGW Sustainability Report 2024.pdf'],1,0,Agriculture,Normal companies
234,PGG WRIGHTSON LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PGG WRIGHTSON LIMITED,2025-06-30,,Submitted,FY24/25,"['PGW GHG Assurance Statement 2025 - Oxygen Consulting 2025-09-16.pdf', 'PGW Sustainability Report and Climate Statement 2025.pdf']",2,0,Agriculture,Normal companies
235,PORT OF TAURANGA LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PORT OF TAURANGA LIMITED,2024-06-30,,Submitted,FY23/24,['Port of Tauranga CRD report FY2024 (1).pdf'],1,0,Infrastructure,Normal companies
236,PORT OF TAURANGA LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PORT OF TAURANGA LIMITED,2025-06-30,,Submitted,FY24/25,"['Port of Tauranga CRD report 2025.pdf', 'Port of Tauranga FY25 GHG Assurance Report_.pdf']",2,0,Infrastructure,Normal companies
237,PRECINCT PROPERTIES NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PRECINCT PROPERTIES NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,"['Climate Related Disclosures_Oct2024.pdf', 'Precinct cover letter - CRD Statements 2024.pdf']",2,0,Real Estates,Normal companies
238,PRECINCT PROPERTIES NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PRECINCT PROPERTIES NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,"['Climate Related Disclosures_clean 28 Oct 2025.pdf', 'Precinct cover letter - CRD Statements 2025.pdf']",2,0,Real Estates,Normal companies
239,PROPERTY FOR INDUSTRY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PROPERTY FOR INDUSTRY LIMITED,2024-06-30,,Submitted,FY23/24,['PFI - FP24 - Climate Related Disclosures.pdf'],1,0,Real Estates,Normal companies
240,PROPERTY FOR INDUSTRY LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,PROPERTY FOR INDUSTRY LIMITED,2023-12-31,1.0,Submitted,FY23/24,['2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf'],1,0,Real Estates,Normal companies
241,PROPERTY FOR INDUSTRY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PROPERTY FOR INDUSTRY LIMITED,2025-06-30,,Submitted,FY24/25,"['2025 06 30 - PFI - FY25 Sustainability and Climate Report - FINAL.pdf', '2025 09 10 - PFI - Notice re reliance on Scope 3 assurance exemption - signed.pdf']",2,0,Real Estates,Normal companies
242,QBE INSURANCE (AUSTRALIA) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,QBE INSURANCE (AUSTRALIA) LIMITED,2024-12-31,,Submitted,FY24/25,['QBE NZ Climate Statement 2024 (with SH and CE signature).pdf'],1,0,Finance - Insurance,Normal companies
243,QBE INSURANCE (AUSTRALIA) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,QBE INSURANCE (AUSTRALIA) LIMITED,2023-12-31,1.0,Submitted,FY23/24,['QBE_NZ Climate Statement.pdf'],1,0,Finance - Insurance,Normal companies
244,QBE INSURANCE (AUSTRALIA) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,QBE INSURANCE (AUSTRALIA) LIMITED,2025-12-31,,Submitted,FY25/26,"['1. QBE Group FS - FY25.pdf', '2. QIA NZ FS - FY25.pdf', '2. Statement accompanies the QIA NZ FS - FY25.pdf', '3. CRD Exemption Notice.pdf', '3. Letter Confirming Reliance on CRD Exemption Notice - FY25.pdf']",5,0,Finance - Insurance,Normal companies
245,QUAYSIDE HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,QUAYSIDE HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,['Quayside Holdings Limited FY24 Climate Related Disclosures.pdf'],1,0,Real Estates,Normal companies
246,QUAYSIDE HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,QUAYSIDE HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,['FY25 CLIMATE DISCLOSURE_231025.pdf'],1,0,Real Estates,Normal companies
247,RABOBANK NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RABOBANK NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,['Rabobank New Zealand Limited 2023 Climate Statements.pdf'],1,0,Finance - Banks,Normal companies
248,RABOBANK NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RABOBANK NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,['ClimateStatements_2024_RNZL_Final.pdf'],1,0,Finance - Banks,Normal companies
249,RABOBANK NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RABOBANK NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,['ClimateStatements_2025_RNZL_Final.pdf'],1,0,Finance - Banks,Normal companies
250,RADIUS RESIDENTIAL CARE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RADIUS RESIDENTIAL CARE LIMITED,2024-03-31,,Submitted,FY23/24,['Radius Residential Care Ltd - CRD Report - FY24.pdf'],1,0,Retirement Village,Normal companies
251,RADIUS RESIDENTIAL CARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RADIUS RESIDENTIAL CARE LIMITED,2025-03-31,,Submitted,FY24/25,['RAD - Radius Care CRD 2025.pdf'],1,0,Retirement Village,Normal companies
252,RADIUS RESIDENTIAL CARE LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,RADIUS RESIDENTIAL CARE LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Retirement Village,Normal companies
253,RAKON LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RAKON LIMITED,2024-03-31,,Submitted,FY23/24,['Rakon Limited Climate Statement July 2024.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
254,RAKON LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RAKON LIMITED,2025-03-31,,Submitted,FY24/25,['RAKON Climate Statement 2025.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
255,RAKON LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,RAKON LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
256,RESOLUTION LIFE AUSTRALASIA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RESOLUTION LIFE AUSTRALASIA LIMITED,2024-12-31,,Submitted,FY24/25,"['RLAL-NZ Climate-Disclosures Signoff Exemption (1).docx.pdf', 'RLAL_NZ Climate Related Disclosure 2024.pdf']",2,0,Finance - Insurance,Normal companies
257,RESOLUTION LIFE AUSTRALASIA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RESOLUTION LIFE AUSTRALASIA LIMITED,2023-12-31,1.0,Submitted,FY23/24,"['CRD 2023 CEO Declaration.pdf', 'RLAL-NZ Climate-Related Disclosures 2023.pdf']",2,0,Finance - Insurance,Normal companies
258,RESOLUTION LIFE AUSTRALASIA LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,RESOLUTION LIFE AUSTRALASIA LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Finance - Insurance,Normal companies
259,RESTAURANT BRANDS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RESTAURANT BRANDS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,['RBD FY24 CRD Report.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
260,RESTAURANT BRANDS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RESTAURANT BRANDS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,['RBD 2023 CRD.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
261,RESTAURANT BRANDS NEW ZEALAND LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,RESTAURANT BRANDS NEW ZEALAND LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
262,RYMAN HEALTHCARE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RYMAN HEALTHCARE LIMITED,2024-03-31,,Submitted,FY23/24,['Ryman Climate-Related Disclosures 2024.pdf'],1,0,Retirement Village,Normal companies
263,RYMAN HEALTHCARE LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,RYMAN HEALTHCARE LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Retirement Village,Normal companies
264,RYMAN HEALTHCARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RYMAN HEALTHCARE LIMITED,2025-03-31,,Submitted,FY24/25,['Ryman FY25 Climate-Related Disclosures Report.pdf'],1,0,Retirement Village,Normal companies
265,SANFORD LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SANFORD LIMITED,2024-09-30,,Submitted,FY24/25,['FY24 Sustainability Report.pdf'],1,0,Agriculture,Normal companies
266,SANFORD LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SANFORD LIMITED,2025-09-30,,Submitted,FY25/26,['Sanford - FY25 Sustainability Report.pdf'],1,0,Agriculture,Normal companies
267,SCALES CORPORATION LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SCALES CORPORATION LIMITED,2024-12-31,,Submitted,FY24/25,['SC9870 Climate Related Disclosure Final 23.04.25.pdf'],1,0,Agriculture,Normal companies
268,SCALES CORPORATION LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SCALES CORPORATION LIMITED,2023-12-31,1.0,Submitted,FY23/24,['SC9600 Climate Related Disclosure Final Copy.pdf'],1,0,Agriculture,Normal companies
269,SCALES CORPORATION LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,SCALES CORPORATION LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Agriculture,Normal companies
270,SCOTT TECHNOLOGY LIMITED,31-08-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SCOTT TECHNOLOGY LIMITED,2024-08-31,,Submitted,FY24/25,['Scott-sustainability-report-2024-v11.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
271,SCOTT TECHNOLOGY LIMITED,31-08-2024 - Not required to lodge,Normal companies,,,2024,SCOTT TECHNOLOGY LIMITED,2024-08-31,,Not required to lodge,FY24/25,['Scott-sustainability-report-2024-v11.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
272,SCOTT TECHNOLOGY LIMITED,31-08-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SCOTT TECHNOLOGY LIMITED,2025-08-31,,Submitted,FY25/26,['Scott-CRD-2025.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
273,SEEKA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SEEKA LIMITED,2023-12-31,1.0,Submitted,FY23/24,['Seeka Limited Climate Disclosure 2023.pdf'],1,0,Agriculture,Normal companies
274,SEEKA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SEEKA LIMITED,2024-12-31,,Submitted,FY24/25,['Seeka Ltd - 2024 Climate Statement.pdf'],1,0,Agriculture,Normal companies
275,SEEKA LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,SEEKA LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Agriculture,Normal companies
276,SERKO LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,SERKO LIMITED,2024-03-31,,Submitted,FY23/24,['6. Serko-ESGReport-2024.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
277,SERKO LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,SERKO LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
278,SERKO LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SERKO LIMITED,2025-03-31,,Submitted,FY24/25,['Serko-ESGReport-2025.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
279,SKELLERUP HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SKELLERUP HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,['Skellerup Group Climate Statements FY25.pdf'],1,0,Constructions,Normal companies
280,SKELLERUP HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKELLERUP HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,['Skellerup Group Climate Statements FY24 Final.pdf'],1,0,Constructions,Normal companies
281,SKY NETWORK TELEVISION LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SKY NETWORK TELEVISION LIMITED,2025-06-30,,Submitted,FY24/25,['SKY Climate-Related Disclosure 2025.pdf'],1,0,Telecom,Normal companies
282,SKY NETWORK TELEVISION LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKY NETWORK TELEVISION LIMITED,2024-06-30,,Submitted,FY23/24,"['SKY - Climate-Related Disclosure 2024.pdf', 'Sky - Independent Audit Opinion 2024.pdf']",2,0,Telecom,Normal companies
283,SKYCITY ENTERTAINMENT GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKYCITY ENTERTAINMENT GROUP LIMITED,2024-06-30,,Submitted,FY23/24,['SkyCity Climate Related Disclosures Index FY24.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
284,SKYCITY ENTERTAINMENT GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SKYCITY ENTERTAINMENT GROUP LIMITED,2025-06-30,,Submitted,FY24/25,[],0,1,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
285,SMARTPAY HOLDINGS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SMARTPAY HOLDINGS LIMITED,2024-03-31,,Submitted,FY23/24,['The Climate Statement for the year ended 31 March 2024.pdf'],1,0,Telecom,Normal companies
286,SMARTPAY HOLDINGS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SMARTPAY HOLDINGS LIMITED,2025-03-31,,Submitted,FY24/25,['The Climate Statement For the Reporting Period Ended 31 March 2025.pdf'],1,0,Telecom,Normal companies
287,SMARTPAY HOLDINGS LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,SMARTPAY HOLDINGS LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Telecom,Normal companies
288,SOUTH PORT NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTH PORT NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,['South Port NZ CRD.pdf'],1,0,Infrastructure,Normal companies
289,SOUTH PORT NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTH PORT NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,"['20250828_South Port FY25 CRD_MASTER.pdf', 'SPNZ Exemption Notice 2025.pdf']",2,0,Infrastructure,Normal companies
290,SOUTHERN CROSS MEDICAL CARE SOCIETY,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTHERN CROSS MEDICAL CARE SOCIETY,2024-06-30,,Submitted,FY23/24,['Southern Cross Medical Care Society - 2024 Climate Statements.pdf'],1,0,Healthcare,Normal companies
291,SOUTHERN CROSS MEDICAL CARE SOCIETY,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTHERN CROSS MEDICAL CARE SOCIETY,2025-06-30,,Submitted,FY24/25,['Southern Cross Medical Care Society - 2025 Climate Statements.pdf'],1,0,Healthcare,Normal companies
292,SOUTHLAND BUILDING SOCIETY,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTHLAND BUILDING SOCIETY,2024-03-31,,Submitted,FY23/24,['SBS Group Climate and Sustainability Statement FYE24.pdf'],1,0,Constructions,Normal companies
293,SOUTHLAND BUILDING SOCIETY,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTHLAND BUILDING SOCIETY,2025-03-31,,Submitted,FY24/25,['SBS Group CRD FY2025.pdf'],1,0,Constructions,Normal companies
294,SOUTHLAND BUILDING SOCIETY,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,SOUTHLAND BUILDING SOCIETY,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Constructions,Normal companies
295,SPARK FINANCE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SPARK FINANCE LIMITED,2024-06-30,,Submitted,FY23/24,"['Financial Markets Conduct (Climate Statements – SFL) Exemption Notice 2024.pdf', 'Spark Finance Limited notice regarding climate reporting exemption.pdf']",2,0,Telecom,Normal companies
