CRE Name,Reporting Entity Status,NZBN,Actions,Link
T&G GLOBAL LIMITED,Registered,9429040750705,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=496c5ca5-8394-ee11-be37-00224892b34a
TEMPLETON EMERGING MARKETS INVESTMENT TRUST PUBLIC LIMITED COMPANY,Registered,9429038745980,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4b6c5ca5-8394-ee11-be37-00224892b34a
THE A2 MILK COMPANY LIMITED,Registered,9429037368845,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4d6c5ca5-8394-ee11-be37-00224892b34a
THE BANKERS INVESTMENT TRUST PLC,Registered,9429038618192,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=070216be-1222-ef11-840a-000d3acadaab
THE COLONIAL MOTOR COMPANY LIMITED,Registered,9429040973531,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=516c5ca5-8394-ee11-be37-00224892b34a
THE CO-OPERATIVE BANK LIMITED,Registered,9429037734121,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=856b5ca5-8394-ee11-be37-00224892b34a
THE HOLLARD INSURANCE COMPANY PTY LTD,Registered,9429042129851,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a56b5ca5-8394-ee11-be37-00224892b34a
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,Registered,9429039532039,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=876b5ca5-8394-ee11-be37-00224892b34a
THE WAREHOUSE GROUP LIMITED,Registered,9429038766633,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1353c9d6-0655-ef11-bfe2-002248931409
TOURISM HOLDINGS LIMITED,Registered,9429039926081,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=536c5ca5-8394-ee11-be37-00224892b34a
TOWER LIMITED,Registered,9429040323299,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9e818f31-1f55-ef11-bfe3-00224892a745
TRANSPOWER NEW ZEALAND LIMITED,Registered,9429039514226,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=556c5ca5-8394-ee11-be37-00224892b34a
TSB BANK LIMITED,Registered,9429039413291,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=896b5ca5-8394-ee11-be37-00224892b34a
TURNERS AUTOMOTIVE GROUP LIMITED,Registered,9429039926999,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=576c5ca5-8394-ee11-be37-00224892b34a
VECTOR LIMITED,Registered,9429039215109,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=596c5ca5-8394-ee11-be37-00224892b34a
VENTIA SERVICES GROUP LIMITED,Registered,9429050093786,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=5b6c5ca5-8394-ee11-be37-00224892b34a
VERO INSURANCE NEW ZEALAND LIMITED,Registered,9429040973210,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a76b5ca5-8394-ee11-be37-00224892b34a
VISTA GROUP INTERNATIONAL LIMITED,Registered,9429035866336,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=5d6c5ca5-8394-ee11-be37-00224892b34a
VULCAN STEEL LIMITED,Registered,9429038466052,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=5f6c5ca5-8394-ee11-be37-00224892b34a
WELLINGTON INTERNATIONAL AIRPORT LIMITED,Registered,9429039443755,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=616c5ca5-8394-ee11-be37-00224892b34a
WESTPAC BANKING CORPORATION,Registered,9429040974897,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=276efcc8-1729-ef11-840a-000d3ad1282f
WESTPAC NEW ZEALAND LIMITED,Registered,9429034324622,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d633c690-4313-ef11-9f89-002248981320
WINTON LAND LIMITED,Registered,9429046190154,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=636c5ca5-8394-ee11-be37-00224892b34a
WORKS FINANCE (NZ) LIMITED,Registered,9429033605623,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=656c5ca5-8394-ee11-be37-00224892b34a
Z ENERGY LIMITED,Registered,9429040935874,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=676c5ca5-8394-ee11-be37-00224892b34a
WESTPAC BANKING CORPORATION,Registered,9429040974897,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=276efcc8-1729-ef11-840a-000d3ad1282f
WESTPAC NEW ZEALAND LIMITED,Registered,9429034324622,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d633c690-4313-ef11-9f89-002248981320
WINTON LAND LIMITED,Registered,9429046190154,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=636c5ca5-8394-ee11-be37-00224892b34a
WORKS FINANCE (NZ) LIMITED,Registered,9429033605623,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=656c5ca5-8394-ee11-be37-00224892b34a
Z ENERGY LIMITED,Registered,9429040935874,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=676c5ca5-8394-ee11-be37-00224892b34a
