,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types,FinalInclusion
167,163,KINGFISH LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,KINGFISH LIMITED,2025-03-31,,Submitted,FY24/25,Kingfish 31 March 2025 Climate Statement.pdf,1,0,Finance - Other,Normal companies,1.0
168,164,KIWI PROPERTY GROUP LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,KIWI PROPERTY GROUP LIMITED,2024-03-31,,Submitted,FY23/24,Kiwi Property Group Climate-related Disclosure Report 2024.pdf,1,0,Real Estates,Normal companies,1.0
169,165,KIWI PROPERTY GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,KIWI PROPERTY GROUP LIMITED,2025-03-31,,Submitted,FY24/25,FY25 Sustainability Report and Climate-related Disclosures.pdf,2,0,Real Estates,Normal companies,1.0
172,167,KIWIBANK LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,KIWIBANK LIMITED,2024-06-30,1.0,Submitted,FY23/24,Kiwibank Climate Statement dated 21 August 2024 as amended on page 34 - 14 October 2024.pdf,3,0,Finance - Banks,Normal companies,1.0
174,168,KIWIBANK LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,KIWIBANK LIMITED,2025-06-30,,Submitted,FY24/25,Kiwibank 2025 Climate Statement.pdf,1,0,Finance - Banks,Normal companies,1.0
178,170,KMD BRANDS LIMITED,31-07-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,KMD BRANDS LIMITED,2024-07-31,,Submitted,FY24/25,KMD Brands Climate Related Disclosures 2024.pdf,1,0,Other industries,Normal companies,1.0
179,171,LIVESTOCK IMPROVEMENT CORPORATION LIMITED,31-05-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,LIVESTOCK IMPROVEMENT CORPORATION LIMITED,2024-05-31,,Submitted,FY23/24,LIC_Climate_Statements_FINAL signed.pdf,1,0,Agriculture,Normal companies,1.0
180,172,LIVESTOCK IMPROVEMENT CORPORATION LIMITED,31-05-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,LIVESTOCK IMPROVEMENT CORPORATION LIMITED,2025-05-31,,Submitted,FY24/25,LIC_ClimateReport_31052025.pdf,1,0,Agriculture,Normal companies,1.0
181,173,MAINFREIGHT LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MAINFREIGHT LIMITED,2024-03-31,,Submitted,FY23/24,2024 Sustainability and Climate Report v1.0.pdf,3,0,Other industries,Normal companies,1.0
184,175,MAINFREIGHT LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MAINFREIGHT LIMITED,2025-03-31,,Submitted,FY24/25,2025 Sustainability and Climate Report v1.0.pdf,2,0,Other industries,Normal companies,1.0
186,176,MANAWA ENERGY LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MANAWA ENERGY LIMITED,2024-03-31,,Submitted,FY23/24,Manawa Energy Limited - Climate Related Disclosure FY24.pdf,1,0,Energy,Normal companies,1.0
188,178,MANAWA ENERGY LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MANAWA ENERGY LIMITED,2025-03-31,,Submitted,FY24/25,Manawa Energy Limited FY25  Climate Statement.pdf,2,0,Energy,Normal companies,1.0
189,179,MARLIN GLOBAL LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MARLIN GLOBAL LIMITED,2024-06-30,,Submitted,FY23/24,Marlin Global Limited - Climate Statement - 30 June 2024.pdf,1,0,Finance - Other,Normal companies,1.0
190,180,MARLIN GLOBAL LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MARLIN GLOBAL LIMITED,2025-06-30,,Submitted,FY24/25,Marlin 2025 Climate Statement.pdf,1,0,Finance - Other,Normal companies,1.0
191,182,MARSDEN MARITIME HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MARSDEN MARITIME HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,MMH Annual Report_2024.pdf,1,0,Infrastructure,Normal companies,1.0
192,183,MERCURY NZ LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MERCURY NZ LIMITED,2025-06-30,,Submitted,FY24/25,Mercury FY25 Climate Statement.pdf,1,0,Energy,Normal companies,1.0
193,184,MERCURY NZ LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MERCURY NZ LIMITED,2024-06-30,,Submitted,FY23/24,Mercury FY24 Climate Statement.pdf,1,0,Energy,Normal companies,1.0
194,185,MERIDIAN ENERGY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MERIDIAN ENERGY LIMITED,2025-06-30,,Submitted,FY24/25,Meridian Energy Climate-related Disclosures 2025.pdf,1,0,Energy,Normal companies,1.0
195,186,MERIDIAN ENERGY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MERIDIAN ENERGY LIMITED,2024-06-30,,Submitted,FY23/24,Meridian Climate related Disclosure 2024.pdf,1,0,Energy,Normal companies,1.0
196,187,METLIFECARE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,METLIFECARE LIMITED,2024-06-30,,Submitted,FY23/24,Metlifecare Climate-related Disclosure Report 2024.pdf,1,0,Retirement Village,Normal companies,1.0
197,188,METLIFECARE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,METLIFECARE LIMITED,2025-06-30,,Submitted,FY24/25,Metlifecare Climate Statement 2025.pdf,1,0,Retirement Village,Normal companies,1.0
200,191,MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,MIL0019_Climate_Related_Disclosures_2023.pdf,1,0,Other industries,Normal companies,1.0
201,192,MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,MCK_FY24_Climate_Statement_FINAL_issued_April28_2025.pdf,1,0,Other industries,Normal companies,1.0
202,194,MOVE LOGISTICS GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,MOVE LOGISTICS GROUP LIMITED,2024-06-30,,Submitted,FY23/24,MOVE Climate Statement 2024-v6.pdf,1,0,Other industries,Normal companies,1.0
203,195,MOVE LOGISTICS GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,MOVE LOGISTICS GROUP LIMITED,2025-06-30,,Submitted,FY24/25,MOVE FY25 Climate Statement.pdf,1,0,Other industries,Normal companies,1.0
205,196,"MUFG BANK, LTD.",31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,"MUFG BANK, LTD.",2024-03-31,,Submitted,FY23/24,MUFG New Zealand Climate Report FY2023.pdf,2,0,Finance - Banks,Normal companies,1.0
207,198,"MUFG BANK, LTD.",31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,"MUFG BANK, LTD.",2025-03-31,,Submitted,FY24/25,MUFG New Zealand Climate Report 31 March 2025.pdf,2,0,Finance - Banks,Normal companies,1.0
208,199,NAPIER PORT HOLDINGS LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,NAPIER PORT HOLDINGS LIMITED,2024-09-30,,Not required to lodge,FY24/25,2024 Climate Change Report (FINAL) - signed.pdf,1,0,Infrastructure,Normal companies,1.0
211,202,NELSON BUILDING SOCIETY,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NELSON BUILDING SOCIETY,2024-03-31,,Submitted,FY23/24,NBS-Climate-Related-Disclosure-2024.pdf,1,0,Constructions,Normal companies,1.0
212,204,NELSON BUILDING SOCIETY,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NELSON BUILDING SOCIETY,2025-03-31,,Submitted,FY24/25,NBS-Climate-Related-Disclosure-2025.pdf,1,0,Constructions,Normal companies,1.0
213,205,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,31-01-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,2025-01-31,,Submitted,FY24/25,New Zealand King Salmon FY25 Climate-Related Disclosures.pdf,1,0,Finance - Other,Normal companies,1.0
214,206,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,2024-01-31,,Submitted,FY23/24,Climate-Related Disclosures.pdf,1,0,Finance - Other,Normal companies,1.0
216,209,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,2024-06-30,,Submitted,FY23/24,2406 Climate-Related-Disclosures-2024.pdf,1,0,Other industries,Normal companies,1.0
217,210,NEW ZEALAND RURAL LAND COMPANY LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NEW ZEALAND RURAL LAND COMPANY LIMITED,2024-12-31,,Submitted,FY24/25,NZL CRD Climate Statement 2024.pdf,1,0,Real Estates,Normal companies,1.0
218,211,NEW ZEALAND RURAL LAND COMPANY LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NEW ZEALAND RURAL LAND COMPANY LIMITED,2023-12-31,1.0,Submitted,FY23/24,NZL Climate Related Disclosure.pdf,1,0,Real Estates,Normal companies,1.0
219,213,NIB NZ LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NIB NZ LIMITED,2024-06-30,,Submitted,FY23/24,nib NZ Climate Related Disclosure_FINAL_R3.pdf,1,0,Finance - Insurance,Normal companies,1.0
220,214,NIB NZ LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,NIB NZ LIMITED,2025-06-30,,Submitted,FY24/25,nib nz 2025 Climate Related Disclosure.pdf,1,0,Finance - Insurance,Normal companies,1.0
224,218,NZME LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NZME LIMITED,2024-12-31,,Submitted,FY24/25,NZME Annual Report 2024 (including climate statement).pdf,1,0,Telecom,Normal companies,1.0
225,219,NZME LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NZME LIMITED,2023-12-31,1.0,Submitted,FY23/24,NZME Annual Report 2023 (including climate statement).pdf,1,0,Telecom,Normal companies,1.0
226,221,NZX LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,NZX LIMITED,2024-12-31,,Submitted,FY24/25,NZX Annual Report 2024 (including climate statement).pdf,1,0,Finance - Other,Normal companies,1.0
227,222,NZX LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,NZX LIMITED,2023-12-31,1.0,Submitted,FY23/24,NZX Annual Report 2023 (including climate statement).pdf,1,0,Finance - Other,Normal companies,1.0
228,224,OCEANIA HEALTHCARE LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,OCEANIA HEALTHCARE LIMITED,2024-03-31,,Submitted,FY23/24,Oceania Healthcare FY2024 Climate-related Risk Disclosure.pdf,1,0,Retirement Village,Normal companies,1.0
229,226,OCEANIA HEALTHCARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,OCEANIA HEALTHCARE LIMITED,2025-03-31,,Submitted,FY24/25,Oceania Healthcare FY2025 Climate-related Risk Disclosure.pdf,1,0,Retirement Village,Normal companies,1.0
230,227,PACIFIC EDGE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PACIFIC EDGE LIMITED,2024-03-31,,Submitted,FY23/24,PEB Climate Report 24.pdf,1,0,Pharmaceuticals,Normal companies,1.0
231,229,PACIFIC EDGE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PACIFIC EDGE LIMITED,2025-03-31,,Submitted,FY24/25,Pacific Edge Limited Final Climate Report FY25.pdf,1,0,Pharmaceuticals,Normal companies,1.0
232,230,PARTNERS LIFE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PARTNERS LIFE LIMITED,2024-03-31,,Submitted,FY23/24,Partners Life Limited Climate Statements 31 March 2024 (stand alone).pdf,1,0,Finance - Insurance,Normal companies,1.0
233,231,PARTNERS LIFE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PARTNERS LIFE LIMITED,2025-03-31,,Submitted,FY24/25,PLL Financial Statements Signed.pdf,1,0,Finance - Insurance,Normal companies,1.0
234,233,PGG WRIGHTSON LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PGG WRIGHTSON LIMITED,2024-06-30,,Submitted,FY23/24,PGW Sustainability Report 2024.pdf,1,0,Agriculture,Normal companies,1.0
236,234,PGG WRIGHTSON LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PGG WRIGHTSON LIMITED,2025-06-30,,Submitted,FY24/25,PGW Sustainability Report and Climate Statement 2025.pdf,2,0,Agriculture,Normal companies,1.0
237,235,PORT OF TAURANGA LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PORT OF TAURANGA LIMITED,2024-06-30,,Submitted,FY23/24,Port of Tauranga CRD report FY2024 (1).pdf,1,0,Infrastructure,Normal companies,1.0
238,236,PORT OF TAURANGA LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PORT OF TAURANGA LIMITED,2025-06-30,,Submitted,FY24/25,Port of Tauranga CRD report 2025.pdf,2,0,Infrastructure,Normal companies,1.0
240,237,PRECINCT PROPERTIES NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,PRECINCT PROPERTIES NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,Climate Related Disclosures_Oct2024.pdf,2,0,Real Estates,Normal companies,1.0
242,238,PRECINCT PROPERTIES NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PRECINCT PROPERTIES NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,Climate Related Disclosures_clean 28 Oct 2025.pdf,2,0,Real Estates,Normal companies,1.0
245,240,PROPERTY FOR INDUSTRY LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,PROPERTY FOR INDUSTRY LIMITED,2023-12-31,1.0,Submitted,FY23/24,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,1,0,Real Estates,Normal companies,1.0
246,241,PROPERTY FOR INDUSTRY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,PROPERTY FOR INDUSTRY LIMITED,2025-06-30,,Submitted,FY24/25,2025 06 30 - PFI - FY25 Sustainability and Climate Report - FINAL.pdf,2,0,Real Estates,Normal companies,1.0
248,242,QBE INSURANCE (AUSTRALIA) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,QBE INSURANCE (AUSTRALIA) LIMITED,2024-12-31,,Submitted,FY24/25,QBE NZ Climate Statement 2024 (with SH and CE signature).pdf,1,0,Finance - Insurance,Normal companies,1.0
255,245,QUAYSIDE HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,QUAYSIDE HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,Quayside Holdings Limited FY24 Climate Related Disclosures.pdf,1,0,Real Estates,Normal companies,1.0
256,246,QUAYSIDE HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,QUAYSIDE HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,FY25 CLIMATE DISCLOSURE_231025.pdf,1,0,Real Estates,Normal companies,1.0
257,247,RABOBANK NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RABOBANK NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,Rabobank New Zealand Limited 2023 Climate Statements.pdf,1,0,Finance - Banks,Normal companies,1.0
258,248,RABOBANK NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RABOBANK NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,ClimateStatements_2024_RNZL_Final.pdf,1,0,Finance - Banks,Normal companies,1.0
260,250,RADIUS RESIDENTIAL CARE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RADIUS RESIDENTIAL CARE LIMITED,2024-03-31,,Submitted,FY23/24,Radius Residential Care Ltd - CRD Report - FY24.pdf,1,0,Retirement Village,Normal companies,1.0
261,251,RADIUS RESIDENTIAL CARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RADIUS RESIDENTIAL CARE LIMITED,2025-03-31,,Submitted,FY24/25,RAD - Radius Care CRD 2025.pdf,1,0,Retirement Village,Normal companies,1.0
262,253,RAKON LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RAKON LIMITED,2024-03-31,,Submitted,FY23/24,Rakon Limited Climate Statement July 2024.pdf,1,0,Other industries,Normal companies,1.0
263,254,RAKON LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RAKON LIMITED,2025-03-31,,Submitted,FY24/25,RAKON Climate Statement 2025.pdf,1,0,Other industries,Normal companies,1.0
265,256,RESOLUTION LIFE AUSTRALASIA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RESOLUTION LIFE AUSTRALASIA LIMITED,2024-12-31,,Submitted,FY24/25,RLAL_NZ Climate Related Disclosure 2024.pdf,2,0,Finance - Insurance,Normal companies,1.0
267,257,RESOLUTION LIFE AUSTRALASIA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RESOLUTION LIFE AUSTRALASIA LIMITED,2023-12-31,1.0,Submitted,FY23/24,RLAL-NZ Climate-Related Disclosures 2023.pdf,2,0,Finance - Insurance,Normal companies,1.0
268,259,RESTAURANT BRANDS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RESTAURANT BRANDS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,RBD FY24 CRD Report.pdf,1,0,Other industries,Normal companies,1.0
269,260,RESTAURANT BRANDS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,RESTAURANT BRANDS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,RBD 2023 CRD.pdf,1,0,Other industries,Normal companies,1.0
270,262,RYMAN HEALTHCARE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,RYMAN HEALTHCARE LIMITED,2024-03-31,,Submitted,FY23/24,Ryman Climate-Related Disclosures 2024.pdf,1,0,Retirement Village,Normal companies,1.0
271,264,RYMAN HEALTHCARE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,RYMAN HEALTHCARE LIMITED,2025-03-31,,Submitted,FY24/25,Ryman FY25 Climate-Related Disclosures Report.pdf,1,0,Retirement Village,Normal companies,1.0
272,265,SANFORD LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SANFORD LIMITED,2024-09-30,,Submitted,FY24/25,FY24 Sustainability Report.pdf,1,0,Agriculture,Normal companies,1.0
274,267,SCALES CORPORATION LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SCALES CORPORATION LIMITED,2024-12-31,,Submitted,FY24/25,SC9870 Climate Related Disclosure Final 23.04.25.pdf,1,0,Agriculture,Normal companies,1.0
275,268,SCALES CORPORATION LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SCALES CORPORATION LIMITED,2023-12-31,1.0,Submitted,FY23/24,SC9600 Climate Related Disclosure Final Copy.pdf,1,0,Agriculture,Normal companies,1.0
276,270,SCOTT TECHNOLOGY LIMITED,31-08-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SCOTT TECHNOLOGY LIMITED,2024-08-31,,Submitted,FY24/25,Scott-sustainability-report-2024-v11.pdf,1,0,Other industries,Normal companies,1.0
279,273,SEEKA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SEEKA LIMITED,2023-12-31,1.0,Submitted,FY23/24,Seeka Limited Climate Disclosure 2023.pdf,1,0,Agriculture,Normal companies,1.0
280,274,SEEKA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SEEKA LIMITED,2024-12-31,,Submitted,FY24/25,Seeka Ltd - 2024 Climate Statement.pdf,1,0,Agriculture,Normal companies,1.0
283,279,SKELLERUP HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SKELLERUP HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,Skellerup Group Climate Statements FY25.pdf,1,0,Constructions,Normal companies,1.0
284,280,SKELLERUP HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKELLERUP HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,Skellerup Group Climate Statements FY24 Final.pdf,1,0,Constructions,Normal companies,1.0
285,281,SKY NETWORK TELEVISION LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SKY NETWORK TELEVISION LIMITED,2025-06-30,,Submitted,FY24/25,SKY Climate-Related Disclosure 2025.pdf,1,0,Telecom,Normal companies,1.0
286,282,SKY NETWORK TELEVISION LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKY NETWORK TELEVISION LIMITED,2024-06-30,,Submitted,FY23/24,SKY - Climate-Related Disclosure 2024.pdf,2,0,Telecom,Normal companies,1.0
288,283,SKYCITY ENTERTAINMENT GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SKYCITY ENTERTAINMENT GROUP LIMITED,2024-06-30,,Submitted,FY23/24,SkyCity Climate Related Disclosures Index FY24.pdf,1,0,Other industries,Normal companies,1.0
289,285,SMARTPAY HOLDINGS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SMARTPAY HOLDINGS LIMITED,2024-03-31,,Submitted,FY23/24,The Climate Statement for the year ended 31 March 2024.pdf,1,0,Telecom,Normal companies,1.0
290,286,SMARTPAY HOLDINGS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SMARTPAY HOLDINGS LIMITED,2025-03-31,,Submitted,FY24/25,The Climate Statement For the Reporting Period Ended 31 March 2025.pdf,1,0,Telecom,Normal companies,1.0
291,288,SOUTH PORT NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTH PORT NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,South Port NZ CRD.pdf,1,0,Infrastructure,Normal companies,1.0
292,289,SOUTH PORT NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTH PORT NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,20250828_South Port FY25 CRD_MASTER.pdf,2,0,Infrastructure,Normal companies,1.0
294,290,SOUTHERN CROSS MEDICAL CARE SOCIETY,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTHERN CROSS MEDICAL CARE SOCIETY,2024-06-30,,Submitted,FY23/24,Southern Cross Medical Care Society - 2024 Climate Statements.pdf,1,0,Healthcare,Normal companies,1.0
295,291,SOUTHERN CROSS MEDICAL CARE SOCIETY,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTHERN CROSS MEDICAL CARE SOCIETY,2025-06-30,,Submitted,FY24/25,Southern Cross Medical Care Society - 2025 Climate Statements.pdf,1,0,Healthcare,Normal companies,1.0
296,292,SOUTHLAND BUILDING SOCIETY,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SOUTHLAND BUILDING SOCIETY,2024-03-31,,Submitted,FY23/24,SBS Group Climate and Sustainability Statement FYE24.pdf,1,0,Constructions,Normal companies,1.0
297,293,SOUTHLAND BUILDING SOCIETY,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SOUTHLAND BUILDING SOCIETY,2025-03-31,,Submitted,FY24/25,SBS Group CRD FY2025.pdf,1,0,Constructions,Normal companies,1.0
302,297,SPARK NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SPARK NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,Annual Report.pdf,1,0,Telecom,Normal companies,1.0
303,298,SPARK NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,SPARK NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,Climate-related Disclosures Report.pdf,2,0,Telecom,Normal companies,1.0
305,299,STEEL & TUBE HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,STEEL & TUBE HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,Steel & Tube 2025 Climate Related Disclosures Final (Signed).pdf,1,0,Constructions,Normal companies,1.0
306,300,STEEL & TUBE HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,STEEL & TUBE HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,Steel & Tube 2024 Climate Related Disclosure_Digital Signatures.pdf,1,0,Constructions,Normal companies,1.0
307,301,STRIDE INVESTMENT MANAGEMENT LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,STRIDE INVESTMENT MANAGEMENT LIMITED,2024-03-31,,Submitted,FY23/24,SPG Sustainability Report and Climate Statements FY24.pdf,1,0,Finance - Other,Normal companies,1.0
308,303,STRIDE INVESTMENT MANAGEMENT LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,STRIDE INVESTMENT MANAGEMENT LIMITED,2025-03-31,,Submitted,FY24/25,Stride Property Group - FY25 Sustainability Report and Climate-Related Disclosures.pdf,1,0,Finance - Other,Normal companies,1.0
