,scenario,scenario_renamed
781,SSP1-1.9,SSP1-1.9
3,SSP1-2.6,SSP1-2.6
97,SSP1-2.6,SSP1-2.6
178,SSP1-2.6,SSP1-2.6
329,SSP1-2.6,SSP1-2.6
336,SSP1-2.6,SSP1-2.6
378,SSP1-2.6,SSP1-2.6
386,SSP1-2.6,SSP1-2.6
468,SSP1-2.6,SSP1-2.6
482,SSP1-2.6,SSP1-2.6
491,SSP1-2.6,SSP1-2.6
557,SSP1-2.6,SSP1-2.6
639,SSP1-2.6,SSP1-2.6
657,SSP1-2.6,SSP1-2.6
741,SSP1-2.6,SSP1-2.6
782,SSP1-2.6,SSP1-2.6
870,SSP1-2.6,SSP1-2.6
881,SSP1-2.6,SSP1-2.6
77,SSP2,SSP2
136,SSP2,SSP2
246,SSP2,SSP2
249,SSP2,SSP2
4,SSP2-4.5,SSP2-4.5
7,SSP2-4.5,SSP2-4.5
22,SSP2-4.5,SSP2-4.5
25,SSP2-4.5,SSP2-4.5
26,SSP2-4.5,SSP2-4.5
35,SSP2-4.5,SSP2-4.5
47,SSP2-4.5,SSP2-4.5
86,SSP2-4.5,SSP2-4.5
95,SSP2-4.5,SSP2-4.5
98,SSP2-4.5,SSP2-4.5
159,SSP2-4.5,SSP2-4.5
179,SSP2-4.5,SSP2-4.5
301,SSP2-4.5,SSP2-4.5
317,SSP2-4.5,SSP2-4.5
330,SSP2-4.5,SSP2-4.5
337,SSP2-4.5,SSP2-4.5
370,SSP2-4.5,SSP2-4.5
379,SSP2-4.5,SSP2-4.5
433,SSP2-4.5,SSP2-4.5
469,SSP2-4.5,SSP2-4.5
483,SSP2-4.5,SSP2-4.5
492,SSP2-4.5,SSP2-4.5
506,SSP2-4.5,SSP2-4.5
512,SSP2-4.5,SSP2-4.5
534,SSP2-4.5,SSP2-4.5
558,SSP2-4.5,SSP2-4.5
594,SSP2-4.5,SSP2-4.5
637,SSP2-4.5,SSP2-4.5
682,SSP2-4.5,SSP2-4.5
694,SSP2-4.5,SSP2-4.5
742,SSP2-4.5,SSP2-4.5
783,SSP2-4.5,SSP2-4.5
48,SSP3,SSP3
78,SSP3,SSP3
137,SSP3,SSP3
247,SSP3,SSP3
250,SSP3,SSP3
649,SSP3,SSP3
689,SSP3,SSP3
830,SSP3,SSP3
5,SSP3-7.0,SSP3-7.0
8,SSP3-7.0,SSP3-7.0
23,SSP3-7.0,SSP3-7.0
27,SSP3-7.0,SSP3-7.0
36,SSP3-7.0,SSP3-7.0
87,SSP3-7.0,SSP3-7.0
119,SSP3-7.0,SSP3-7.0
180,SSP3-7.0,SSP3-7.0
318,SSP3-7.0,SSP3-7.0
380,SSP3-7.0,SSP3-7.0
434,SSP3-7.0,SSP3-7.0
484,SSP3-7.0,SSP3-7.0
493,SSP3-7.0,SSP3-7.0
595,SSP3-7.0,SSP3-7.0
683,SSP3-7.0,SSP3-7.0
695,SSP3-7.0,SSP3-7.0
432,SSP4-3.4,SSP4-3.4
816,SSP5,SSP5
99,SSP5-8.5,SSP5-8.5
302,SSP5-8.5,SSP5-8.5
331,SSP5-8.5,SSP5-8.5
338,SSP5-8.5,SSP5-8.5
371,SSP5-8.5,SSP5-8.5
381,SSP5-8.5,SSP5-8.5
470,SSP5-8.5,SSP5-8.5
485,SSP5-8.5,SSP5-8.5
507,SSP5-8.5,SSP5-8.5
535,SSP5-8.5,SSP5-8.5
559,SSP5-8.5,SSP5-8.5
638,SSP5-8.5,SSP5-8.5
743,SSP5-8.5,SSP5-8.5
784,SSP5-8.5,SSP5-8.5
641,Status Quo,Status Quo
528,T≈´-ƒÅ-hopo 2.0¬∞C,T≈´-ƒÅ-hopo 2.0∞C
529,T≈´-ƒÅ-tapape 3.0¬∞C,T≈´-ƒÅ-tapape 3.0∞C
52,"Too Little, Too late","Too Little, Too late"
243,"Too Little, Too late","Too Little, Too late"
295,"Too Little, Too late","Too Little, Too late"
298,"Too Little, Too late","Too Little, Too late"
328,"Too Little, Too late","Too Little, Too late"
335,"Too Little, Too late","Too Little, Too late"
364,"Too Little, Too late","Too Little, Too late"
367,"Too Little, Too late","Too Little, Too late"
373,"Too Little, Too late","Too Little, Too late"
498,"Too Little, Too late","Too Little, Too late"
501,"Too Little, Too late","Too Little, Too late"
531,"Too Little, Too late","Too Little, Too late"
537,"Too Little, Too late","Too Little, Too late"
553,"Too Little, Too late","Too Little, Too late"
579,"Too Little, Too late","Too Little, Too late"
691,"Too Little, Too late","Too Little, Too late"
700,"Too Little, Too late","Too Little, Too late"
715,"Too Little, Too late","Too Little, Too late"
718,"Too Little, Too late","Too Little, Too late"
801,"Too Little, Too late","Too Little, Too late"
864,"Too Little, Too late","Too Little, Too late"
928,"Too Little, Too late","Too Little, Too late"
